text,Joy,Fear,Anger,Sadness,Surprise
The light would come all the way up to your vehicle and then it would seem to vanish only to be on the other side of you heading the other way.,0,1,0,0,1
"Well, my birthday is in January.",0,0,0,0,0
"Tears in my eyes, too much on my mind, and deep sadness in my heart.",0,1,0,1,0
"My eyes scanned quickly into every room, every corner as I passed by $ and more than once my fist met the peeling paint of a closed door.",0,1,1,0,0
I felt the afterglow of the late afternoon sun and the cool zephyr on my skin at the same time when I stood outside the main gates of the university just before I saw his car making that turn.,1,0,0,0,0
Whatever was stuffing up my head yesterday moved into my chest.,0,1,0,1,0
At this point he decided to consult the woman at the front desk for more information.,0,1,0,0,0
This is my fucking breaking point.,0,1,1,0,0
Could be wrong though.,0,1,0,0,0
"It could have been slaughter, but he turned his wheel.",0,1,0,0,1
"I bit down on my lower lip, trying as hard as I can to force back another lump in my throat.",0,0,0,1,0
"`` Mr. Jackson just called me, and he told me to call you, and told me to ask you so he didn't have to call you, and that's why I 'M calling you for him -- '' I broke out giggling and rushed to cover my mouth, stealing an embarrassed glance at all the nurses watching me in complete awe.",1,0,0,0,1
I just didn't have it in my legs to keep up with that through the hills and fell back.,0,1,0,1,0
"I messed up my shoulder pretty well, and damn near broke several fingers.",0,1,1,1,0
"I fell to my knees, my body shaking with the sorrow I held in me since I woke up.",0,0,0,1,0
Closest analogy I could come up with.,0,1,0,0,0
I feel like Ted the Sad Sap.,0,0,0,1,0
The next day the drain clogged up.,0,0,1,0,0
"I know it is true, for my own glasses have been gone for over 16 years, and I know what TO do and what NOT TO DO in order to have my eyesight relax, my vision stay sharp, and my eyes happy.",1,0,0,0,0
"The back half is dark and dense woods, overgrown, only one trail winding through.",0,1,0,0,0
She lived in the boonies &amp; one night she was getting ready for bed when she glanced out the window &amp; saw a red flicker.,0,1,0,0,1
"I'm frozen for a few moments, Tears welling to my eyes as I try to squash the emotions.",0,1,0,1,0
"It was several years later that I realized that I had probably narrowly avoided being molested, kidnapped, or worse.",0,1,0,1,1
Especially when you don't know the circumstance.,0,1,0,0,1
"I stopped laughing, clearing my throat and looking down again.",0,0,0,0,0
"My skin blossomed in red blisters from the tape and from the places where the sheet was wrinkled against me -- such a Princess and the Pea thing, I know, but fascinating to the medical staff, who declared me to have `` bizarrely soft skin. ''",0,1,0,1,0
"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
The heroine stood beside me and reached for my hand.,0,0,0,0,0
she started hallucinating and thrashing around in the bathroom stall at one point.,0,1,0,1,1
"Colorado, middle of nowhere.",0,1,0,0,1
But this is August.,0,0,0,0,1
"With an infant, stroller and backup, I had my hands full and I needed time to do things.",0,1,0,0,0
"Still numb.The numbness never left my arm, it was crazy.",0,1,0,1,0
"I stood up, still violently too high, and walked over to my friend, who was still on the ground.",0,1,0,1,0
I put a hand to my brow furrowed with worry and closed my eyes.,0,1,0,1,0
Maybe I need to take a full day of rest and not do anything exercise-related for one day to help my legs feel better.,0,1,0,1,0
But I really do know it is my heart speaking through me and i am being taken over by the heart and not the mind i feel inspired.,1,0,0,0,0
Please feel free to comment any questions,1,0,0,0,0
Over two hours gone.,0,1,0,1,1
This expert also was the ex-husband of the murdered woman.,0,1,0,1,1
My arms and legs saw sun for the first time in a long time.,1,0,0,0,0
"Well I make it about 2 miles from my apartment when I notice a small drop on my arm and then another, I say uh oh I better get back then it starts to rain a little, then harder and harder, to the point that im soaked, even my shoes are filled with water.",0,1,0,1,0
And I can't breath through my nose.,0,1,0,0,0
took the skin off my knuckles an my hand bleeding like hell but i felt kinda better.,0,1,0,1,0
I woke up around 10:30 with a million thoughts rolling through my head.,0,1,0,0,0
"I sensed, and then saw four short (about 3 feet tall), gray-colored 'beings' with large dark eyes next to my side of the bed (on my left).",0,1,0,0,1
The children felt like they were being told telepathically that there was great danger ahead.,0,1,0,0,1
"So, with my sporting boyfriend, we went for a few hours of under the sun getting splash in my eyes with water.",1,0,0,0,0
They're sitting right across the pool from my mom just STARING at her.,0,1,1,0,1
I have to be a complete part of his life and his heart.,0,0,0,0,0
That's messed up.,0,0,1,0,1
"As stiff as a board, I didn't move an inch except to dart my eyes to my sleeping sister in the bed ten feet away.",0,1,0,0,0
"after the half day practice on wednesday, my arms were literally black and blue!",0,1,0,1,0
My hands were full.,0,0,0,0,0
The exact same guy.,0,0,0,0,1
